date,home_team,away_team,home_odds,away_odds,final_score,winner_team
09 Oct 2025,Real Madrid,Lyon-Villeurbanne,1.12,10.00,85-72,Real Madrid
09 Oct 2025,Paris,Virtus Bologna,1.47,2.92,90-79,Paris
09 Oct 2025,Partizan Mozzart Bet,Anadolu Efes,1.70,2.37,93-87,Partizan Mozzart Bet
09 Oct 2025,Olimpia Milano,Monaco,2.16,1.81,79-82,Monaco
09 Oct 2025,Baskonia,Panathinaikos,3.00,1.45,84-86,Panathinaikos
08 Oct 2025,Hapoel Tel Aviv,Maccabi Tel Aviv,1.30,4.40,90-103,Maccabi Tel Aviv
03 Oct 2025,Maccabi Tel Aviv,Paris,1.76,2.27,94-101,Paris
03 Oct 2025,Valencia,Virtus Bologna,1.53,2.85,103-94,Valencia
03 Oct 2025,Panathinaikos,Barcelona,1.32,4.40,96-103,Barcelona
03 Oct 2025,Lyon-Villeurbanne,Baskonia,1.87,2.14,102-95,Lyon-Villeurbanne
03 Oct 2025,Anadolu Efes,Hapoel Tel Aviv,1.86,2.28,81-87,Hapoel Tel Aviv
03 Oct 2025,Monaco,Dubai,1.36,3.74,103-81,Monaco
03 Oct 2025,Zalgiris Kaunas,Fenerbahce,2.14,1.90,84-81,Zalgiris Kaunas
02 Oct 2025,Real Madrid,Olympiacos,1.76,2.24,89-77,Real Madrid
02 Oct 2025,Bayern,Crvena Zvezda Meridianbet,1.54,2.87,97-88,Bayern
02 Oct 2025,Partizan Mozzart Bet,Olimpia Milano,1.66,2.65,80-78,Partizan Mozzart Bet
01 Oct 2025,Lyon-Villeurbanne,Valencia,2.30,1.71,77-80,Valencia
01 Oct 2025,Fenerbahce,Paris,1.35,3.85,96-77,Fenerbahce
01 Oct 2025,Monaco,Zalgiris Kaunas,1.34,3.85,84-89,Zalgiris Kaunas
30 Sep 2025,Virtus Bologna,Real Madrid,2.85,1.58,74-68,Virtus Bologna
30 Sep 2025,Baskonia,Olympiacos,3.51,1.40,96-102,Olympiacos
30 Sep 2025,Panathinaikos,Bayern,1.20,5.75,87-79,Panathinaikos
30 Sep 2025,Crvena Zvezda Meridianbet,Olimpia Milano,1.66,2.52,82-92,Olimpia Milano
30 Sep 2025,Anadolu Efes,Maccabi Tel Aviv,1.38,3.50,85-78,Anadolu Efes
30 Sep 2025,Hapoel Tel Aviv,Barcelona,1.80,2.28,103-87,Hapoel Tel Aviv
30 Sep 2025,Dubai,Partizan Mozzart Bet,1.92,2.00,89-76,Dubai
